music_id	suno_prompt
1	Intimate, nostalgic, bittersweet. Cinematic ambient, delicate piano and soft, warm cello, slow and reflective tempo. No vocals, instrumental only.
2	Stunned, cold, devastating. Modern chamber music, sparse, dissonant piano chords and a solitary, mournful violin, slow and stark tempo. No vocals, instrumental only.
3	Idyllic, tender, hopeful. Cinematic nostalgia, gentle acoustic guitar and soft, lyrical strings, moderate and flowing tempo. No vocals, instrumental only.
4	Clinical, shocking, devastating. Cinematic ambient, sparse high piano notes over a low, cold synth drone, slow and eerily quiet tempo. No vocals, instrumental only.
5	Polite, distracted, tense. Modern chamber music, hesitant piano and a distant, unresolved cello line, moderate tempo with a sense of dual focus. No vocals, instrumental only.
6	Melancholic, contemplative, anxious. Cinematic folk, acoustic guitar and soft, breathy woodwinds, slow and thoughtful tempo with a slight rhythmic unease. No vocals, instrumental only.
7	Unsettling, tense, observant. Cinematic psychological drama. Sparse, dissonant piano chords, distant celebratory sounds, a low, pulsing cello drone. Slow, deliberate tempo. No vocals, instrumental only.
8	Detached, melancholic, resolved. Cinematic ambient. A solitary, repeating piano motif, soft, distant string pads, a subtle, grounding bass tone. Calm, deliberate tempo. No vocals, instrumental only.
9	Solemn, foreboding, weary. Cinematic chamber music. A mournful solo cello melody, tense, high string harmonics, sparse, hesitant piano notes. Slow, anticipatory tempo. No vocals, instrumental only.
10	Tense, performative, observed. Cinematic drama, subtle piano and restrained strings, ceremonial but distant feel. No vocals, instrumental only.
11	Centered, resolved, momentous. Cinematic minimalism, solo cello and sparse piano, slow and deliberate tempo. No vocals, instrumental only.
12	Formal, charged, deliberate. Modern chamber music, piano and low strings, steady and focused tempo. No vocals, instrumental only.
13	Calm, resolved, observant. Cinematic ambient, sparse piano, soft cello, and gentle synth pads. Slow, quiet, and reflective tempo. No vocals, instrumental only.
14	Reflective, heavy, poignant. Cinematic chamber music, solo cello, melancholic piano, and distant strings. Slow, methodical, and contemplative tempo. No vocals, instrumental only.
15	Quietly triumphant, hopeful, purposeful. Cinematic indie folk, warm acoustic guitar, soft piano, and gentle percussion. Mid-tempo, forward-moving, and uplifting feel. No vocals, instrumental only.
16	Quietly hopeful, contemplative. Cinematic ambient, gentle piano and warm cello, sparse and reflective tempo. No vocals, instrumental only.
17	Bittersweet, forward-looking. Modern chamber music, solo violin and soft acoustic guitar, tender and flowing tempo. No vocals, instrumental only.
18	Resolved, peaceful, hopeful. Cinematic neoclassical, full strings and delicate piano, calm and uplifting tempo. No vocals, instrumental only.
